Dog Breed,Category,Symptom,Breed (EN)
米格魯,眼睛,永久性瞳孔殘膜,Beagle
米格魯,眼睛,瞬膜腺體脫出(櫻桃眼),Beagle
米格魯,眼睛,小眼症與多種先天性眼球缺陷,Beagle
米格魯,眼睛,明朗毯退化症,Beagle
米格魯,骨骼及關節,髖關節發育不良,Beagle
米格魯,骨骼及關節,髕骨異位,Beagle
米格魯,骨骼及關節,軟骨增生不良,Beagle
米格魯,骨骼及關節,肘關節發育不良,Beagle
米格魯,血液,第七凝血因子缺乏症,Beagle
米格魯,血液,丙酮酸激酶缺乏症,Beagle
米格魯,血液,幼年多動脈炎,Beagle
米格魯,心臟,肺動脈瓣狹窄,Beagle
米格魯,泌尿系統,腎臟澱粉樣變性病,Beagle
米格魯,內分泌系統,糖尿病,Beagle
米格魯,內分泌系統,甲狀腺功能低下,Beagle
米格魯,腦及神經,癲癇,Beagle
米格魯,腦及神經,進行性肌陣攣性癲癇,Beagle
米格魯,脊椎脊髓及神經,椎間盤疾病,Beagle
米格魯,腫瘤及癌症,膀胱和尿道腫瘤,Beagle
米格魯,生殖系統,隱睪,Beagle
米格魯,嘴及口腔,牙周病,Beagle
米格魯,耳朵,耳聾,Beagle
英國鬥牛犬,毛髮皮膚,毛囊蟲症,English Bulldog
英國鬥牛犬,眼睛,多生睫毛,English Bulldog
英國鬥牛犬,眼睛,眼瞼內翻,English Bulldog
英國鬥牛犬,眼睛,眼瞼外翻,English Bulldog
英國鬥牛犬,眼睛,視網膜增生不良,English Bulldog
英國鬥牛犬,眼睛,瞬膜腺體脫垂（櫻桃眼）,English Bulldog
英國鬥牛犬,眼睛,乾眼症,English Bulldog
英國鬥牛犬,眼睛,永久性瞳孔殘膜,English Bulldog
英國鬥牛犬,眼睛,白內障,English Bulldog
英國鬥牛犬,眼睛,慢性淺層角膜炎,English Bulldog
英國鬥牛犬,骨骼及關節,髖關節發育不良,English Bulldog
英國鬥牛犬,骨骼及關節,肘關節發育不良,English Bulldog
英國鬥牛犬,骨骼及關節,髕骨異位,English Bulldog
英國鬥牛犬,骨骼及關節,分離性骨軟骨炎,English Bulldog
英國鬥牛犬,心臟,肺動脈狹窄症,English Bulldog
英國鬥牛犬,呼吸系統,短吻犬呼吸道症候群,English Bulldog
英國鬥牛犬,消化排泄系統,食道裂孔疝氣,English Bulldog
英國鬥牛犬,泌尿系統,高尿酸尿症/尿路結石症,English Bulldog
英國鬥牛犬,泌尿系統,胱氨酸尿石症,English Bulldog
英國鬥牛犬,內分泌系統,甲狀腺功能減退症,English Bulldog
英國鬥牛犬,脊椎脊髓及神經,脊柱裂,English Bulldog
英國鬥牛犬,畸形,全身性水腫(致命性先天性水腫，Anasarca),English Bulldog
邊境牧羊犬,眼睛,牧羊犬眼球異常/先天性視網膜脈絡膜缺損,Border Collie
邊境牧羊犬,眼睛,漸進性視網膜萎縮症,Border Collie
邊境牧羊犬,眼睛,永久性瞳孔膜,Border Collie
邊境牧羊犬,眼睛,玻璃體移位,Border Collie
邊境牧羊犬,眼睛,白內障,Border Collie
邊境牧羊犬,眼睛,視網膜增生不良,Border Collie
邊境牧羊犬,骨骼及關節,髖關節發育不良,Border Collie
邊境牧羊犬,骨骼及關節,肘關節發育不良,Border Collie
邊境牧羊犬,骨骼及關節,髕骨異位,Border Collie
邊境牧羊犬,骨骼及關節,骨軟骨病,Border Collie
邊境牧羊犬,血液,嗜中性白血球困阻症,Border Collie
邊境牧羊犬,血液,肝門脈系統分流,Border Collie
邊境牧羊犬,內分泌系統,糖尿病,Border Collie
邊境牧羊犬,內分泌系統,甲狀腺功能減退症,Border Collie
邊境牧羊犬,腦及神經,神經性蠟樣脂褐質沈著症,Border Collie
邊境牧羊犬,腦及神經,癲癇,Border Collie
邊境牧羊犬,腦及神經,小腦營養性衰竭,Border Collie
邊境牧羊犬,耳朵,耳聾,Border Collie
鬆獅犬,毛髮皮膚,皮脂腺炎,Chow Chow
鬆獅犬,毛髮皮膚,X脫毛症,Chow Chow
鬆獅犬,毛髮皮膚,落葉型天皰瘡,Chow Chow
鬆獅犬,眼睛,永久性瞳孔殘膜,Chow Chow
鬆獅犬,眼睛,眼瞼內翻,Chow Chow
鬆獅犬,眼睛,原發性青光眼,Chow Chow
鬆獅犬,眼睛,角膜營養不良,Chow Chow
鬆獅犬,眼睛,暴露性角膜病變症後群,Chow Chow
鬆獅犬,眼睛,眼瞼外翻,Chow Chow
鬆獅犬,眼睛,白內障,Chow Chow
鬆獅犬,眼睛,慢性淺表性角膜炎,Chow Chow
鬆獅犬,骨骼及關節,髖關節發育不良,Chow Chow
鬆獅犬,骨骼及關節,髕骨異位,Chow Chow
鬆獅犬,骨骼及關節,肘關節發育不良,Chow Chow
鬆獅犬,心臟,不完全房室傳導阻滯,Chow Chow
鬆獅犬,心臟,肺動脈狹窄症,Chow Chow
鬆獅犬,消化排泄系統,胃扭轉,Chow Chow
鬆獅犬,消化排泄系統,胰臟腺胞細胞萎縮,Chow Chow
鬆獅犬,泌尿系統,家族性青少年時期腎病,Chow Chow
鬆獅犬,內分泌系統,甲狀腺功能低下,Chow Chow
鬆獅犬,腦及神經,去髓鞘疾病,Chow Chow
鬆獅犬,腫瘤及癌症,胃癌,Chow Chow
鬆獅犬,腫瘤及癌症,口腔和舌部黑色素瘤,Chow Chow
鬆獅犬,肌肉,前十字韌帶斷裂,Chow Chow
鬆獅犬,肌肉,先天性肌強直症,Chow Chow
哈士奇,毛髮皮膚,鋅反應性皮膚病,Siberian Husky
哈士奇,毛髮皮膚,眼色素層皮膚症候群,Siberian Husky
哈士奇,毛髮皮膚,X脫毛症,Siberian Husky
哈士奇,眼睛,角膜營養不良,Siberian Husky
哈士奇,眼睛,X性聯漸進性視網膜退化症,Siberian Husky
哈士奇,眼睛,原發性青光眼,Siberian Husky
哈士奇,眼睛,永久性瞳孔殘膜,Siberian Husky
哈士奇,眼睛,慢性淺層角膜炎,Siberian Husky
哈士奇,眼睛,幼年白內障,Siberian Husky
哈士奇,骨骼及關節,髕骨異位,Siberian Husky
哈士奇,骨骼及關節,髖關節發育不全,Siberian Husky
哈士奇,呼吸系統,支氣管擴張症,Siberian Husky
哈士奇,呼吸系統,自發性氣胸,Siberian Husky
哈士奇,泌尿系統,輸尿管異位,Siberian Husky
哈士奇,內分泌系統,甲狀腺功能低下,Siberian Husky
哈士奇,腦及神經,癲癇,Siberian Husky
哈士奇,腫瘤及癌症,甲狀腺癌,Siberian Husky
哈士奇,生殖系統,隱睪症,Siberian Husky
哈士奇,免疫系統,嗜酸性炎症,Siberian Husky
薩摩耶,毛髮皮膚,皮脂腺炎,Samoyed
薩摩耶,毛髮皮膚,X-脫毛症,Samoyed
薩摩耶,眼睛,X染色體遺傳性視網膜退化症,Samoyed
薩摩耶,眼睛,眼睛及骨骼發育異常,Samoyed
薩摩耶,眼睛,視網膜增生不良,Samoyed
薩摩耶,眼睛,睫毛倒插,Samoyed
薩摩耶,眼睛,角膜內皮失養症,Samoyed
薩摩耶,眼睛,白內障,Samoyed
薩摩耶,眼睛,永久性瞳孔殘膜,Samoyed
薩摩耶,眼睛,原發性青光眼,Samoyed
薩摩耶,眼睛,眼色素層皮膚症候群,Samoyed
薩摩耶,骨骼及關節,髖關節發育不全,Samoyed
薩摩耶,骨骼及關節,肘關節發育不全,Samoyed
薩摩耶,心臟,肺動脈瓣狹窄,Samoyed
薩摩耶,消化排泄系統,胃扭轉,Samoyed
薩摩耶,內分泌系統,甲狀腺功能低下,Samoyed
薩摩耶,內分泌系統,糖尿病,Samoyed
薩摩耶,腫瘤及癌症,舌鱗狀上皮細胞癌,Samoyed
黃金獵犬,毛髮皮膚,過敏性皮炎,Golden Retriever
黃金獵犬,毛髮皮膚,皮脂漏,Golden Retriever
黃金獵犬,毛髮皮膚,魚鱗癬/原發性皮膚角化缺陷,Golden Retriever
黃金獵犬,毛髮皮膚,皮脂腺囊腫,Golden Retriever
黃金獵犬,眼睛,漸進性視網膜萎縮症,Golden Retriever
黃金獵犬,眼睛,睫毛倒插,Golden Retriever
黃金獵犬,眼睛,白內障 虹膜囊腫,Golden Retriever
黃金獵犬,眼睛,永久性瞳孔殘膜,Golden Retriever
黃金獵犬,眼睛,葡萄膜炎,Golden Retriever
黃金獵犬,眼睛,青光眼,Golden Retriever
黃金獵犬,眼睛,視網膜增生不良,Golden Retriever
黃金獵犬,眼睛,不明原因霍納氏症候群,Golden Retriever
黃金獵犬,眼睛,自發性慢性角膜上皮缺損,Golden Retriever
黃金獵犬,骨骼及關節,肘部發育不良,Golden Retriever
黃金獵犬,骨骼及關節,肥大性骨營養不良症,Golden Retriever
黃金獵犬,骨骼及關節,髖關節發育不良,Golden Retriever
黃金獵犬,骨骼及關節,膝關節異位,Golden Retriever
黃金獵犬,骨骼及關節,犬隻全骨炎,Golden Retriever
黃金獵犬,骨骼及關節,剝離性骨軟骨炎,Golden Retriever
黃金獵犬,血液,A型血友病,Golden Retriever
黃金獵犬,血液,凝血因數(血影蛋白缺乏症),Golden Retriever
黃金獵犬,血液,溫韋伯氏疾病(類血友病),Golden Retriever
黃金獵犬,血液,白血病,Golden Retriever
黃金獵犬,心臟,主動脈瓣下狹窄,Golden Retriever
黃金獵犬,心臟,原因不明性心包囊積水,Golden Retriever
黃金獵犬,消化排泄系統,巨食道,Golden Retriever
黃金獵犬,消化排泄系統,胃擴張/扭轉,Golden Retriever
黃金獵犬,泌尿系統,幼年腎臟發育不良,Golden Retriever
黃金獵犬,內分泌系統,甲狀腺功能低下,Golden Retriever
黃金獵犬,腦及神經,感覺運動神經軸突病變,Golden Retriever
黃金獵犬,腦及神經,癲癇,Golden Retriever
黃金獵犬,腫瘤及癌症,骨肉瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,眼球黑色素瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,脈絡叢腦瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,肥大細胞瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,口腔惡性黑色素瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,舌纖維肉瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,血管肉瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,淋巴瘤/淋巴肉瘤,Golden Retriever
黃金獵犬,腫瘤及癌症,組織細胞肉瘤/組織細胞病,Golden Retriever
黃金獵犬,腫瘤及癌症,甲狀腺癌,Golden Retriever
黃金獵犬,腫瘤及癌症,顱內腦膜瘤,Golden Retriever
黃金獵犬,肌肉,前十字韌帶斷裂,Golden Retriever
黃金獵犬,肌肉,重症肌無力,Golden Retriever
黃金獵犬,肌肉,環咽肌功能障礙/食道賁門弛緩不能症,Golden Retriever
黃金獵犬,耳朵,外耳炎,Golden Retriever
拉不拉多,毛髮皮膚,過敏性皮炎,Labrador Retriever
拉不拉多,毛髮皮膚,皮膚界限性鈣鹽沉著症,Labrador Retriever
拉不拉多,眼睛,視網膜增生不良,Labrador Retriever
拉不拉多,眼睛,漸進性視網膜萎縮症,Labrador Retriever
拉不拉多,眼睛,永久性瞳孔殘膜,Labrador Retriever
拉不拉多,眼睛,白內障,Labrador Retriever
拉不拉多,眼睛,雙睫症,Labrador Retriever
拉不拉多,眼睛,角膜營養不良,Labrador Retriever
拉不拉多,眼睛,眼瞼內翻,Labrador Retriever
拉不拉多,眼睛,繼發性青光眼,Labrador Retriever
拉不拉多,眼睛,葡萄膜囊腫,Labrador Retriever
拉不拉多,骨骼及關節,髖關節發育不良,Labrador Retriever
拉不拉多,骨骼及關節,肘關節發育不良,Labrador Retriever
拉不拉多,骨骼及關節,膝關節鬆弛,Labrador Retriever
拉不拉多,骨骼及關節,骨軟骨炎,Labrador Retriever
拉不拉多,骨骼及關節,肥大性骨營養不良症,Labrador Retriever
拉不拉多,骨骼及關節,棘下肌滑液囊硬化症,Labrador Retriever
拉不拉多,血液,免疫性溶血性貧血,Labrador Retriever
拉不拉多,心臟,三尖瓣(右心房)發育不良,Labrador Retriever
拉不拉多,心臟,房室傳導阻滯,Labrador Retriever
拉不拉多,消化排泄系統,慢性肝炎/銅相關肝炎,Labrador Retriever
拉不拉多,泌尿系統,胱氨酸尿症,Labrador Retriever
拉不拉多,泌尿系統,異位輸尿管,Labrador Retriever
拉不拉多,內分泌系統,甲狀腺功能低下症,Labrador Retriever
拉不拉多,內分泌系統,糖尿病,Labrador Retriever
拉不拉多,腦及神經,後天性喉部麻痺,Labrador Retriever
拉不拉多,腦及神經,猝睡症,Labrador Retriever
拉不拉多,腦及神經,癲癇,Labrador Retriever
拉不拉多,腦及神經,運動誘發虛脫,Labrador Retriever
拉不拉多,腫瘤及癌症,眼球黑色素瘤,Labrador Retriever
拉不拉多,腫瘤及癌症,虹膜睫狀體上皮細胞瘤,Labrador Retriever
拉不拉多,腫瘤及癌症,趾鱗狀上皮細胞癌,Labrador Retriever
拉不拉多,腫瘤及癌症,舌鱗狀上皮細胞癌,Labrador Retriever
拉不拉多,腫瘤及癌症,淋巴瘤/淋巴肉瘤,Labrador Retriever
拉不拉多,腫瘤及癌症,組織細胞肉瘤/組織細胞增多症,Labrador Retriever
拉不拉多,腫瘤及癌症,口腔纖維肉瘤,Labrador Retriever
拉不拉多,肌肉,前十字韌帶斷裂,Labrador Retriever
拉不拉多,肌肉,肌小管病變,Labrador Retriever
拉不拉多,鼻子,鼻角化不全症,Labrador Retriever
德國狼犬,毛髮皮膚,過敏性皮膚炎,German Shepherd
德國狼犬,毛髮皮膚,家族遺傳性皮膚血管病變,German Shepherd
德國狼犬,毛髮皮膚,膿皮症,German Shepherd
德國狼犬,毛髮皮膚,犬皮膚限界性鈣鹽沈著症,German Shepherd
德國狼犬,毛髮皮膚,肛門周圍瘺管,German Shepherd
德國狼犬,眼睛,角膜內皮失養症,German Shepherd
德國狼犬,眼睛,先天性或青少時期性白內障,German Shepherd
德國狼犬,眼睛,慢性淺層角膜炎,German Shepherd
德國狼犬,眼睛,永久性瞳孔殘膜,German Shepherd
德國狼犬,眼睛,視網膜增生不良,German Shepherd
德國狼犬,骨骼及關節,肘部發育不良,German Shepherd
德國狼犬,骨骼及關節,肥大性骨營養不良症,German Shepherd
德國狼犬,骨骼及關節,髖關節發育不良,German Shepherd
德國狼犬,骨骼及關節,膝關節異位,German Shepherd
德國狼犬,骨骼及關節,犬隻全骨炎,German Shepherd
德國狼犬,骨骼及關節,剝離性骨軟骨炎,German Shepherd
德國狼犬,血液,A型血友病,German Shepherd
德國狼犬,血液,溫韋伯氏疾病,German Shepherd
德國狼犬,血液,血小板促凝劑缺乏症,German Shepherd
德國狼犬,心臟,心室性心律不整／心臟猝死,German Shepherd
德國狼犬,心臟,擴張性心肌病,German Shepherd
德國狼犬,心臟,主動脈瓣下狹窄,German Shepherd
德國狼犬,心臟,先天性血管畸形,German Shepherd
德國狼犬,消化排泄系統,胃扭轉,German Shepherd
德國狼犬,消化排泄系統,炎症性腸病,German Shepherd
德國狼犬,消化排泄系統,胰腺萎縮,German Shepherd
德國狼犬,消化排泄系統,後天性巨食道症,German Shepherd
德國狼犬,消化排泄系統,會陰疝氣,German Shepherd
德國狼犬,泌尿系統,尿酸鹽膀胱結石,German Shepherd
德國狼犬,內分泌系統,甲狀腺功能低下,German Shepherd
德國狼犬,內分泌系統,腦下垂體性侏儒症,German Shepherd
德國狼犬,腦及神經,癲癇,German Shepherd
德國狼犬,脊椎脊髓及神經,退化性脊髓病,German Shepherd
德國狼犬,脊椎脊髓及神經,退化性腰薦椎狹窄症/馬尾綜合症,German Shepherd
德國狼犬,腫瘤及癌症,遺傳性多灶性腎囊腺癌和結節性皮膚纖維化,German Shepherd
德國狼犬,腫瘤及癌症,血管肉瘤,German Shepherd
德國狼犬,肌肉,前十字韌帶斷裂,German Shepherd
德國狼犬,肌肉,重症肌無力,German Shepherd
德國狼犬,免疫系統,免疫功能障礙/IgA缺乏症,German Shepherd
德國狼犬,免疫系統,全身性紅斑狼瘡/圓盤狀紅斑狼瘡,German Shepherd
德國狼犬,免疫系統,全身性麴菌症,German Shepherd
德國狼犬,免疫系統,利什曼原蟲症/血管性利什曼原蟲症,German Shepherd
拳師犬,毛髮皮膚,異位性皮膚炎/吸入性過敏皮膚炎,Boxer
拳師犬,毛髮皮膚,毛囊蟲病,Boxer
拳師犬,毛髮皮膚,毛囊發育不良,Boxer
拳師犬,毛髮皮膚,季節性腹側脫毛症,Boxer
拳師犬,眼睛,多生睫毛,Boxer
拳師犬,眼睛,角膜營養不良,Boxer
拳師犬,眼睛,眼瞼外翻,Boxer
拳師犬,眼睛,白內障,Boxer
拳師犬,骨骼及關節,髖關節發育不良,Boxer
拳師犬,骨骼及關節,肘關節發育不良,Boxer
拳師犬,骨骼及關節,分離性骨軟骨炎,Boxer
拳師犬,心臟,拳師犬心肌病,Boxer
拳師犬,心臟,主動脈瓣狹窄,Boxer
拳師犬,心臟,肺動脈狹窄症,Boxer
拳師犬,心臟,心房隔膜缺陷,Boxer
拳師犬,消化排泄系統,組織細胞潰瘍性結腸炎（拳師犬結腸炎）,Boxer
拳師犬,消化排泄系統,慢性胰腺炎,Boxer
拳師犬,泌尿系統,幼年腎病,Boxer
拳師犬,內分泌系統,甲狀腺功能低下,Boxer
拳師犬,腦及神經,癲癇,Boxer
拳師犬,腦及神經,幼年壞死性血管炎/無菌性腦膜炎,Boxer
拳師犬,脊椎脊髓及神經,漸進性軸突病變,Boxer
拳師犬,脊椎脊髓及神經,退化性脊髓病,Boxer
拳師犬,腫瘤及癌症,肥大細胞瘤,Boxer
拳師犬,腫瘤及癌症,口腔癌,Boxer
拳師犬,腫瘤及癌症,骨肉瘤,Boxer
拳師犬,腫瘤及癌症,顱內腦膜瘤,Boxer
拳師犬,腫瘤及癌症,淋巴瘤,Boxer
拳師犬,畸形,唇裂/顎裂,Boxer
拳師犬,生殖系統,隱睪症,Boxer
拳師犬,生殖系統,難產,Boxer
拳師犬,嘴及口腔,齒齦增生症,Boxer
拳師犬,肌肉,前十字韌帶斷裂,Boxer
拳師犬,肌肉,炎症性肌病,Boxer
杜賓犬,毛髮皮膚,毛囊蟲症,Doberman Pinscher
杜賓犬,毛髮皮膚,毛囊發育不良,Doberman Pinscher
杜賓犬,毛髮皮膚,色素稀釋性脫毛症,Doberman Pinscher
杜賓犬,毛髮皮膚,犬肢端舔舐性皮膚炎,Doberman Pinscher
杜賓犬,眼睛,先天性失明,Doberman Pinscher
杜賓犬,眼睛,白內障,Doberman Pinscher
杜賓犬,眼睛,永久性瞳孔殘膜,Doberman Pinscher
杜賓犬,眼睛,視網膜增生不良,Doberman Pinscher
杜賓犬,眼睛,多生睫毛,Doberman Pinscher
杜賓犬,眼睛,殘留型增殖性初級玻璃體症,Doberman Pinscher
杜賓犬,骨骼及關節,髖關節發育不全,Doberman Pinscher
杜賓犬,骨骼及關節,肘關節發育不良,Doberman Pinscher
杜賓犬,血液,溫韋伯氏疾病/類血友病,Doberman Pinscher
杜賓犬,心臟,擴張型心肌病,Doberman Pinscher
杜賓犬,心臟,動脈硬化症,Doberman Pinscher
杜賓犬,消化排泄系統,胃扭轉,Doberman Pinscher
杜賓犬,泌尿系統,荷爾蒙尿失禁,Doberman Pinscher
杜賓犬,泌尿系統,幼年腎臟疾病,Doberman Pinscher
杜賓犬,內分泌系統,甲狀腺功能低下,Doberman Pinscher
杜賓犬,腦及神經,猝睡症,Doberman Pinscher
杜賓犬,脊椎脊髓及神經,頸椎不穩（搖擺綜合症）,Doberman Pinscher
杜賓犬,脊椎脊髓及神經,跳舞杜賓病,Doberman Pinscher
杜賓犬,生殖系統,前列腺疾病,Doberman Pinscher
杜賓犬,耳朵,先天性耳聾和前庭疾病,Doberman Pinscher
大白熊犬,毛髮皮膚,過敏性皮膚炎,Great Pyrenees
大白熊犬,眼睛,視網膜增生不良,Great Pyrenees
大白熊犬,眼睛,永久性瞳孔殘膜,Great Pyrenees
大白熊犬,眼睛,白內障,Great Pyrenees
大白熊犬,眼睛,多生睫毛,Great Pyrenees
大白熊犬,眼睛,瞼內翻,Great Pyrenees
大白熊犬,眼睛,角膜營養不良,Great Pyrenees
大白熊犬,骨骼及關節,髖關節發育不全,Great Pyrenees
大白熊犬,骨骼及關節,髕骨異位,Great Pyrenees
大白熊犬,骨骼及關節,肘部發育不良,Great Pyrenees
大白熊犬,骨骼及關節,軟骨增生不良,Great Pyrenees
大白熊犬,骨骼及關節,肩部骨軟骨病,Great Pyrenees
大白熊犬,骨骼及關節,犬隻全骨炎,Great Pyrenees
大白熊犬,骨骼及關節,關節炎,Great Pyrenees
大白熊犬,血液,血小板無力症,Great Pyrenees
大白熊犬,消化排泄系統,胃扭轉,Great Pyrenees
大白熊犬,內分泌系統,腎上腺皮質分泌不全(愛迪生氏症),Great Pyrenees
大白熊犬,內分泌系統,甲狀腺功能低下,Great Pyrenees
大白熊犬,脊椎脊髓及神經,多神經病變複合病的喉部麻痺,Great Pyrenees
大白熊犬,腫瘤及癌症,骨肉瘤,Great Pyrenees
大白熊犬,耳朵,外耳炎,Great Pyrenees
大白熊犬,耳朵,耳聾,Great Pyrenees
